ind;sst
0001palmer_sem1_num1;6.2
0003palmer_sem1_num2;4.5
0005palmer_sem1_num3;5.3
0007palmer_sem1_num4;4.4
0009palmer_sem1_num5;5.5
0011palmer_sem1_num6;3.9
0013palmer_sem1_num7;5.2
0015palmer_sem1_num8;4.3
0017palmer_sem1_num9;5.1
0019palmer_sem1_num10;4.3
0021palmer_sem1_num11;4.9
0023palmer_sem1_num12;4.2
0025palmer_sem1_num13;4.5
0027palmer_sem1_num14;4.2
0029palmer_sem1_num15;6
0031palmer_sem1_num16;4.2
0033palmer_sem1_num17;5.2
0035palmer_sem1_num18;5.2
0037palmer_sem1_num19;6.2
0039palmer_sem1_num20;4.5
0041palmer_sem1_num21;5.4
0043palmer_sem1_num22;3.9
0045palmer_sem1_num23;5
0047palmer_sem1_num24;4.3
0049palmer_sem1_num25;4.3
0051palmer_sem1_num26;4.2
0053palmer_sem1_num27;5
0055palmer_sem1_num28;4.4
0057palmer_sem1_num29;5.6
0059palmer_sem1_num30;4.5
0061palmer_sem1_num31;5.7
0063palmer_sem1_num32;4.2
0065palmer_sem1_num33;5.1
0067palmer_sem1_num34;4.3
0069palmer_sem1_num35;6
0071palmer_sem1_num36;4.3
0073palmer_sem1_num37;6
0075palmer_sem1_num38;4.5
0077palmer_sem1_num39;4.4
0079palmer_sem1_num40;3.8
0081palmer_sem1_num41;5.9
0083palmer_sem1_num42;4
0085palmer_sem1_num43;5.7
0087palmer_sem1_num44;4.2
0089palmer_sem1_num45;4.4
0091palmer_sem1_num46;4.1
0093palmer_sem1_num47;5
0095palmer_sem1_num48;4.5
0097palmer_sem1_num49;4.3
0099palmer_sem1_num50;5.6
0101palmer_sem1_num51;4.2
0103palmer_sem1_num52;4.2
0105palmer_sem1_num53;5.2
0107palmer_sem1_num54;4.4
0109palmer_sem1_num55;5.3
0111palmer_sem1_num56;4.5
0113palmer_sem1_num57;4.4
0115palmer_sem1_num58;4.4
0117palmer_sem1_num59;4.2
0119palmer_sem1_num60;4.2
0121palmer_sem2_num1;6.2
0123palmer_sem2_num2;4.5
0125palmer_sem2_num3;5.9
0127palmer_sem2_num4;4.6
0129palmer_sem2_num5;6
0131palmer_sem2_num6;4.1
0133palmer_sem2_num7;5.3
0135palmer_sem2_num8;4.2
0137palmer_sem2_num9;5.9
0139palmer_sem2_num10;4.3
0141palmer_sem2_num11;6.1
0143palmer_sem2_num12;4.6
0145palmer_sem2_num13;6
0147palmer_sem2_num14;4.4
0149palmer_sem2_num15;6.3
0151palmer_sem2_num16;4.1
0153palmer_sem2_num17;6.9
0155palmer_sem2_num18;4.2
0157palmer_sem2_num19;6.3
0159palmer_sem2_num20;4.6
0161palmer_sem2_num21;6.1
0163palmer_sem2_num22;4.5
0165palmer_sem2_num23;6.1
0167palmer_sem2_num24;4.9
0169palmer_sem2_num25;5
0171palmer_sem2_num26;4.1
0173palmer_sem2_num27;6.2
0175palmer_sem2_num28;4.5
0177palmer_sem2_num29;5.9
0179palmer_sem2_num30;4.7
0181palmer_sem2_num31;4.8
0183palmer_sem2_num32;4.5
0185palmer_sem2_num33;4.4
0187palmer_sem2_num34;4.6
0189palmer_sem2_num35;6
0191palmer_sem2_num36;4.5
0193palmer_sem2_num37;5.6
0195palmer_sem2_num38;4.6
0197palmer_sem2_num39;4.6
0199palmer_sem2_num40;4.9
0201palmer_sem2_num41;5.4
0203palmer_sem2_num42;4.3
0205palmer_sem2_num43;5.8
0207palmer_sem2_num44;5.1
0209palmer_sem2_num45;6
0211palmer_sem2_num46;5
0213palmer_sem2_num47;6
0215palmer_sem2_num48;4.6
0217palmer_sem2_num49;4.3
0219palmer_sem2_num50;4.1
0221palmer_sem2_num51;6.2
0223palmer_sem2_num52;4.5
0225palmer_sem2_num53;5.6
0227palmer_sem2_num54;4.2
0229palmer_sem2_num55;5.5
0231palmer_sem2_num56;4.7
0233palmer_sem2_num57;5
0235palmer_sem2_num58;4.6
0237palmer_sem2_num59;4.5
0239palmer_sem2_num60;4.5
0241palmer_sem3_num1;5.4
0243palmer_sem3_num2;5.1
0245palmer_sem3_num3;6
0247palmer_sem3_num4;5.6
0249palmer_sem3_num5;6
0251palmer_sem3_num6;5
0253palmer_sem3_num7;6.2
0255palmer_sem3_num8;4.6
0257palmer_sem3_num9;5.8
0259palmer_sem3_num10;5.2
0261palmer_sem3_num11;6
0263palmer_sem3_num12;4.7
0265palmer_sem3_num13;5.2
0267palmer_sem3_num14;5.1
0269palmer_sem3_num15;6
0271palmer_sem3_num16;4.5
0273palmer_sem3_num17;6.3
0275palmer_sem3_num18;4.5
0277palmer_sem3_num19;6.2
0279palmer_sem3_num20;4.4
0281palmer_sem3_num21;5.1
0283palmer_sem3_num22;4.4
0285palmer_sem3_num23;6.4
0287palmer_sem3_num24;4.5
0289palmer_sem3_num25;5.8
0291palmer_sem3_num26;4.3
0293palmer_sem3_num27;5.9
0295palmer_sem3_num28;4.4
0297palmer_sem3_num29;5.6
0299palmer_sem3_num30;4.4
0301palmer_sem3_num31;5.8
0303palmer_sem3_num32;4
0305palmer_sem3_num33;5.8
0307palmer_sem3_num34;4.8
0309palmer_sem3_num35;6
0311palmer_sem3_num36;5
0313palmer_sem3_num37;5.4
0315palmer_sem3_num38;4.3
0317palmer_sem3_num39;6
0319palmer_sem3_num40;4.7
0321palmer_sem3_num41;6
0323palmer_sem3_num42;4.6
0325palmer_sem3_num43;5.4
0327palmer_sem3_num44;4.6
0329palmer_sem3_num45;5.8
0331palmer_sem3_num46;4.5
0333palmer_sem3_num47;6
0335palmer_sem3_num48;4.5
0337palmer_sem3_num49;5.2
0339palmer_sem3_num50;4.9
0341palmer_sem3_num51;5.8
0343palmer_sem3_num52;4.7
0345palmer_sem3_num53;5.9
0347palmer_sem3_num54;4.5
0349palmer_sem3_num55;5.6
0351palmer_sem3_num56;4.6
0353palmer_sem3_num57;5.8
0355palmer_sem3_num58;5.3
0357palmer_sem3_num59;5.8
0359palmer_sem3_num60;4.9
0361palmer_sem4_num1;6
0363palmer_sem4_num2;5.1
0365palmer_sem4_num3;6.2
0367palmer_sem4_num4;5.2
0369palmer_sem4_num5;5.1
0371palmer_sem4_num6;7
0373palmer_sem4_num7;6.4
0375palmer_sem4_num8;4.6
0377palmer_sem4_num9;5.8
0379palmer_sem4_num10;6
0381palmer_sem4_num11;6.8
0383palmer_sem4_num12;6.3
0385palmer_sem4_num13;6.8
0387palmer_sem4_num14;6.4
0389palmer_sem4_num15;6
0391palmer_sem4_num16;5.8
0393palmer_sem4_num17;5.8
0395palmer_sem4_num18;5.4
0397palmer_sem4_num19;5.5
0399palmer_sem4_num20;6
0401palmer_sem4_num21;5.8
0403palmer_sem4_num22;6
0405palmer_sem4_num23;6
0407palmer_sem4_num24;6.2
0409palmer_sem4_num25;6.2
0411palmer_sem4_num26;6
0413palmer_sem4_num27;5.4
0415palmer_sem4_num28;6
0417palmer_sem4_num29;5
0419palmer_sem4_num30;5.4
0421palmer_sem4_num31;5.2
0423palmer_sem4_num32;5.8
0425palmer_sem4_num33;5
0427palmer_sem4_num34;6
0429palmer_sem4_num35;5.8
0431palmer_sem4_num36;5.2
0433palmer_sem4_num37;5.6
0435palmer_sem4_num38;5.8
0437palmer_sem4_num39;5.8
0439palmer_sem4_num40;5.8
0441palmer_sem4_num41;5.9
0443palmer_sem4_num42;6
0445palmer_sem4_num43;5.6
0447palmer_sem4_num44;5.4
0449palmer_sem4_num45;5.8
0451palmer_sem4_num46;6.2
0453palmer_sem4_num47;5.8
0455palmer_sem4_num48;6
0457palmer_sem4_num49;6
0459palmer_sem4_num50;6
0461palmer_sem4_num51;5.4
0463palmer_sem4_num52;5.6
0465palmer_sem4_num53;6
0467palmer_sem4_num54;6
0469palmer_sem4_num55;5.4
0471palmer_sem4_num56;5.4
0473palmer_sem4_num57;5.6
0475palmer_sem4_num58;6
0477palmer_sem4_num59;5.8
0479palmer_sem4_num60;5.6
0481palmer_sem5_num1;5
0483palmer_sem5_num2;6.8
0485palmer_sem5_num3;5
0487palmer_sem5_num4;5.2
0489palmer_sem5_num5;5
0491palmer_sem5_num6;5.2
0493palmer_sem5_num7;5.4
0495palmer_sem5_num8;5
0497palmer_sem5_num9;5.2
0499palmer_sem5_num10;5
0501palmer_sem5_num11;5.4
0503palmer_sem5_num12;5.2
0505palmer_sem5_num13;5.4
0507palmer_sem5_num14;5.4
0509palmer_sem5_num15;6
0511palmer_sem5_num16;5.4
0513palmer_sem5_num17;5.8
0515palmer_sem5_num18;5.8
0517palmer_sem5_num19;5.4
0519palmer_sem5_num20;5.6
0521palmer_sem5_num21;5.2
0523palmer_sem5_num22;6
0525palmer_sem5_num23;5.8
0527palmer_sem5_num24;6
0529palmer_sem5_num25;5.4
0531palmer_sem5_num26;6.2
0533palmer_sem5_num27;6
0535palmer_sem5_num28;6
0537palmer_sem5_num29;5.4
0539palmer_sem5_num30;5.6
0541palmer_sem5_num31;5.4
0543palmer_sem5_num32;5.6
0545palmer_sem5_num33;5.6
0547palmer_sem5_num34;5.2
0549palmer_sem5_num35;5.8
0551palmer_sem5_num36;5.8
0553palmer_sem5_num37;5.4
0555palmer_sem5_num38;5.4
0557palmer_sem5_num39;5.8
0559palmer_sem5_num40;6
0561palmer_sem5_num41;5.4
0563palmer_sem5_num42;5.4
0565palmer_sem5_num43;5.2
0567palmer_sem5_num44;5.4
0569palmer_sem5_num45;5
0571palmer_sem5_num46;5.4
0573palmer_sem5_num47;5
0575palmer_sem5_num48;5.6
0577palmer_sem5_num49;5.2
0579palmer_sem5_num50;5
0581palmer_sem5_num51;5.6
0583palmer_sem5_num52;5.4
0585palmer_sem5_num53;5
0587palmer_sem5_num54;5.2
0589palmer_sem5_num55;5.2
0591palmer_sem5_num56;5.4
0593palmer_sem5_num57;5
0595palmer_sem5_num58;5.2
