ind;time;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full;area;height;width;diameter
0001palmer_sem1_num1;35;50.40964476962442;54.09238816452466;30.61146375095705;23.79923841282416;86.50185701397751;56.31668047107796;54.95619841328768;123.79106069193425;138.36944923509822;1192008.0;1782.5;946.5;1231.9493423553329
0003palmer_sem1_num2;35;52.10687853008279;60.121814359072324;32.09442592467926;25.08573243213593;86.20179386493902;61.39703305908545;60.61137704128554;121.97360748703323;139.4773988473266;1182720.0;1780.5;943.0;1227.1446898479367
0005palmer_sem1_num3;35;45.9477215799559;56.568129272488136;29.8552829306032;28.426003943336585;83.87753335233302;56.43112970457154;56.04154142611669;121.057398319896;138.74292683484398;1341610.0;1844.0;1054.0;1306.977513169813
0007palmer_sem1_num4;35;46.4220814446991;50.5123882915897;31.468817782213502;24.95624831208199;71.67479444651241;51.3377639466769;50.855674373586645;124.05764398334736;136.24885932498808;1283671.5;1821.5;1020.0;1278.412087198451
0009palmer_sem1_num5;35;56.51294953636806;71.01477237384073;30.40425376838851;29.60312709273449;107.34106386963305;70.84539428126158;71.02113329908639;118.14936968128202;144.36706921627982;1372392.0;1825.5;1040.0;1321.8831795889387
0011palmer_sem1_num6;35;58.87329232363967;72.59650929089705;32.27199212319983;29.98620530179477;106.72366224004259;72.44382735969342;72.82391984840605;118.16014227180193;144.81807613052186;1209224.0;1543.5;1045.5;1240.7779241288922
0013palmer_sem1_num7;35;45.03709767620555;55.68461753010434;31.316704276261078;30.2371541525824;79.9387168459503;55.505741855595076;55.04507712329442;121.09568360305559;138.05580568489174;1216535.5;1767.5;964.0;1244.5620666204927
0015palmer_sem1_num8;35;48.703109381263246;61.31006291842948;30.85022838710575;30.16186456684356;90.64405428327291;61.10019885549941;60.84301008990795;119.77012861908057;140.4036750017499;1241504.5;1786.5;968.5;1257.2707268140387
0017palmer_sem1_num9;35;51.93859813348321;57.729669262667144;31.49373204344243;24.098740211779752;86.13102091870806;59.473638686654816;58.53810858865715;122.71926788064009;139.07318293814086;1149424.0;1744.5;956.5;1209.740842757774
0019palmer_sem1_num10;35;49.1866288612197;59.6871263164629;31.262219628633623;28.81588156154841;89.33424054712513;59.91581704529675;59.454974944364146;120.5452636662208;140.00381624385764;1247428.0;1744.0;990.5;1260.2619148050735
0021palmer_sem1_num11;35;48.80372327822931;58.770829397740755;31.51026808425135;28.820873111902838;84.68215757812933;58.729223490182974;58.66622922998447;121.03493199488743;139.28406560465322;1167988.0;1751.0;931.0;1219.4761542836368
0023palmer_sem1_num12;35;48.291522723323624;57.230459653220755;32.11718196803801;28.24123170669065;81.09021298360723;57.29123547048597;57.238875621950854;121.68678540331905;138.3763848648141;1401955.5;1915.0;1033.5;1336.041296312303
