ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0001palmer_sem1_num1;6.2;50.40964476962442;54.09238816452466;30.611463750957046;23.79923841282416;86.50185701397751;56.31668047107796;54.95619841328768;123.79106069193425;138.36944923509822
0003palmer_sem1_num2;4.5;52.10687853008279;60.121814359072324;32.09442592467926;25.08573243213593;86.20179386493903;61.39703305908545;60.61137704128554;121.97360748703323;139.4773988473266
0005palmer_sem1_num3;5.3;45.9477215799559;56.568129272488136;29.8552829306032;28.426003943336585;83.87753335233302;56.43112970457154;56.04154142611669;121.057398319896;138.74292683484398
0007palmer_sem1_num4;4.4;46.422081444699096;50.5123882915897;31.468817782213502;24.95624831208199;71.67479444651241;51.3377639466769;50.85567437358665;124.05764398334736;136.24885932498808
0009palmer_sem1_num5;5.5;56.51294953636806;71.01477237384073;30.40425376838851;29.60312709273449;107.34106386963305;70.84539428126158;71.02113329908639;118.14936968128202;144.36706921627982
0011palmer_sem1_num6;3.9;58.87329232363967;72.59650929089705;32.27199212319983;29.98620530179477;106.72366224004259;72.44382735969342;72.82391984840605;118.16014227180193;144.81807613052186
0013palmer_sem1_num7;5.2;45.03709767620555;55.68461753010434;31.316704276261078;30.2371541525824;79.9387168459503;55.505741855595076;55.045077123294426;121.09568360305559;138.05580568489174
0015palmer_sem1_num8;4.3;48.70310938126325;61.31006291842948;30.850228387105748;30.16186456684356;90.64405428327291;61.10019885549941;60.84301008990795;119.77012861908057;140.4036750017499
0017palmer_sem1_num9;5.1;51.93859813348321;57.729669262667144;31.49373204344243;24.098740211779752;86.13102091870806;59.473638686654816;58.53810858865715;122.71926788064007;139.07318293814086
0019palmer_sem1_num10;4.3;49.186628861219695;59.6871263164629;31.262219628633623;28.81588156154841;89.33424054712513;59.91581704529675;59.454974944364146;120.5452636662208;140.00381624385764
0021palmer_sem1_num11;4.9;48.80372327822931;58.770829397740755;31.51026808425135;28.820873111902838;84.68215757812933;58.729223490182974;58.66622922998447;121.03493199488743;139.28406560465322
0023palmer_sem1_num12;4.2;48.291522723323624;57.230459653220755;32.11718196803801;28.24123170669065;81.09021298360723;57.291235470485965;57.238875621950854;121.68678540331905;138.3763848648141
0025palmer_sem1_num13;4.5;49.27790491747881;59.987914763741685;31.95438051993527;28.841638860054235;84.79762577909472;59.829816734078435;59.80949845372224;120.77099731491778;139.41178569193437
0027palmer_sem1_num14;4.2;55.37032632290844;66.35450307053371;33.344377024819345;26.816738511545445;89.9691856720217;66.66391562576499;66.6707958867568;120.3916419134753;141.1683136284569
0029palmer_sem1_num15;6.0;51.40756772500659;64.81508398156222;31.924629009855085;30.683070332811237;93.2952690968536;64.63131853973934;64.38503693181042;119.20631800921619;141.35582055890063
0031palmer_sem1_num16;4.2;57.86577172848132;67.84979226548919;32.57185399914293;26.58414366921764;96.85740674324606;68.5667326860864;68.45885730224954;120.27469678214136;142.61471221595826
0033palmer_sem1_num17;5.2;46.37402899941283;56.40493769671101;30.84586305020305;29.35843971631932;83.84980555214997;56.27352759056971;55.94853927630442;121.10024689062469;138.77786359052232
0035palmer_sem1_num18;5.2;45.998192429295166;53.398273324410546;31.959862676822752;28.386341137321462;75.69751387726376;53.47056175240041;53.21731881966678;122.35323449798588;137.34825775740893
0037palmer_sem1_num19;6.2;49.46164083960346;57.290289290862894;32.460621390702315;27.09540064392076;79.49134064235386;57.559597792131214;57.40910223167962;122.08693952743648;138.42627066282773
0039palmer_sem1_num20;4.5;53.73122806606258;62.40861910600475;32.027397068943685;25.93972954664813;90.7191148553944;63.214074274741726;62.87891319776679;121.38399795658306;140.50318835452106
0041palmer_sem1_num21;5.4;47.3232786854918;54.69495692107483;31.587283684318894;26.52200152263483;77.66390635997367;54.810343662126634;54.71558427029388;122.50628797124828;137.68082836204783
0043palmer_sem1_num22;3.9;54.382594307714044;63.01126261879792;31.883353689641265;25.249979097981356;90.93060170226966;64.22853610345736;63.54914125732449;121.25005633797191;140.84412728320518
0045palmer_sem1_num23;5.0;50.74101411572855;62.48923826238553;30.217158253986007;28.923148148607662;93.27430004498892;62.3469335213307;62.16433725780589;120.1010389818349;141.0429015985759
0047palmer_sem1_num24;4.3;46.577574638834;54.492521150464675;30.227820458336293;27.03010518923532;83.81412477205235;55.23798755965665;54.36420979460722;122.09254981271644;138.26544068446884
