ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
1201tommy_sem4_num1;6.2;52.39669772;48.70159534;27.88415714;28.46122441;105.9979138;56.63273014;50.961430799999995;126.73685900000001;139.21750419999998
1203tommy_sem4_num2;5.8;57.34272429;68.89623509;30.08076156;29.131038300000004;111.33017120000001;69.41200079;69.43110987;119.052402;144.6683543
1205tommy_sem4_num3;7.8;46.98426027;57.70343631;27.48029471;29.84363071;102.7937003;57.98188658;57.33354054;120.1055858;141.2939265
1207tommy_sem4_num4;5.8;52.02437886;41.07533849;29.15696284;27.20575299;96.73888443;52.58133709;44.40105519;130.5881068;135.9565992
1209tommy_sem4_num5;6.0;52.8650236;72.26542905;28.21382862;33.14032206;120.2787935;72.26482917;71.49407729999999;115.67209369999999;146.173304
1211tommy_sem4_num6;6.4;52.07717635;58.34562335;26.89009402;26.60299166;110.1877455;59.82431667;59.01096962;121.59865409999999;142.4470118
1213tommy_sem4_num7;5.8;52.64557038;48.05471277;29.10676702;24.23917119;98.37892105;54.65174568;50.2762122;127.18801540000001;138.2200872
1215tommy_sem4_num8;5.6;56.15134623;65.59803513;28.46463482;27.20036117;111.8875107;67.15672333;66.18567654;120.08177649999999;144.1418763
1217tommy_sem4_num9;5.8;52.57859462;68.03751363;28.13999249;32.84685552;119.1155091;68.01986663;67.66022704;117.1238243;145.3440376
1219tommy_sem4_num10;5.8;54.07936863;73.39254732;27.06319208;31.65457418;120.76842920000001;73.35577855;72.69268249999999;115.8575594;146.5257675
1221tommy_sem4_num11;5.8;51.36058316;53.08586498;28.49947093;26.89579503;102.8396293;57.62969778;54.292708600000005;124.108426;139.95952
1223tommy_sem4_num12;6.2;52.00058044;65.76050149;27.39748579;30.80692089;115.9023918;65.74816823;65.48944193;118.2561132;144.3280708
1225tommy_sem4_num13;5.8;52.96942767;59.07214811;28.70506007;26.68052764;103.6683632;61.81401327;59.89216745;122.0767693;141.5749505
1227tommy_sem4_num14;6.8;55.29248273;62.37301007;28.66775755;25.9725897;106.12479640000002;63.54133055;63.12409595;121.30159979999999;142.74464530000003
