ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0001palmer_sem1_num1;6.2;50.40964477;54.09238816;30.61146375;23.79923841;86.50185701;56.31668047;54.95619841;123.7910607;138.3694492
0003palmer_sem1_num2;4.5;52.10687853;60.12181436;32.09442592;25.08573243;86.20179386;61.39703306;60.61137704;121.9736075;139.4773988
0005palmer_sem1_num3;5.3;45.94772158;56.56812927;29.85528293;28.42600394;83.87753335;56.4311297;56.04154143;121.0573983;138.74292680000002
0007palmer_sem1_num4;4.4;46.42208144;50.51238829;31.46881778;24.95624831;71.67479445;51.33776395;50.85567437;124.057644;136.24885930000002
0009palmer_sem1_num5;5.5;56.51294954;71.01477237;30.40425377;29.60312709;107.3410639;70.84539428;71.0211333;118.1493697;144.36706919999997
0011palmer_sem1_num6;3.9;58.87329232;72.59650929;32.27199212;29.9862053;106.72366219999999;72.44382736;72.82391985;118.16014229999999;144.81807609999998
0013palmer_sem1_num7;5.2;45.03709768;55.68461753;31.31670428;30.23715415;79.93871685;55.50574186;55.04507712;121.09568359999999;138.05580569999998
0015palmer_sem1_num8;4.3;48.70310938;61.31006292;30.85022839;30.16186457;90.64405428;61.10019886;60.84301009;119.77012859999998;140.403675
0017palmer_sem1_num9;5.1;51.93859813;57.72966926;31.49373204;24.09874021;86.13102092;59.47363869;58.53810859;122.7192679;139.0731829
0019palmer_sem1_num10;4.3;49.18662886;59.68712632;31.26221963;28.81588156;89.33424055;59.91581705;59.45497494;120.5452637;140.0038162
0021palmer_sem1_num11;4.9;48.80372328;58.7708294;31.51026808;28.82087311;84.68215758;58.72922349;58.66622923;121.03493200000001;139.2840656
0023palmer_sem1_num12;4.2;48.29152272;57.23045965;32.11718197;28.24123171;81.09021298;57.29123547;57.23887562;121.6867854;138.3763849
0025palmer_sem1_num13;4.5;49.27790492;59.98791476;31.95438052;28.84163886;84.79762578;59.82981673;59.80949845;120.7709973;139.4117857
0027palmer_sem1_num14;4.2;55.37032632;66.35450307;33.34437702;26.81673851;89.96918567;66.66391563;66.67079589;120.3916419;141.1683136
0029palmer_sem1_num15;6.0;51.40756773;64.81508398;31.92462901;30.68307033;93.2952691;64.63131854;64.38503693;119.206318;141.3558206
0031palmer_sem1_num16;4.2;57.86577173;67.84979227;32.571853999999995;26.58414367;96.85740674;68.56673269;68.45885729999999;120.27469679999999;142.61471219999999
0033palmer_sem1_num17;5.2;46.374029;56.4049377;30.84586305;29.35843972;83.84980555;56.27352759;55.94853928;121.1002469;138.7778636
0035palmer_sem1_num18;5.2;45.99819243;53.39827332;31.95986268;28.38634114;75.69751388;53.47056175;53.21731882;122.3532345;137.34825780000003
0037palmer_sem1_num19;6.2;49.46164084;57.29028929;32.46062139;27.09540064;79.49134064;57.55959779;57.40910223;122.0869395;138.4262707
0039palmer_sem1_num20;4.5;53.73122807;62.40861911;32.02739707;25.93972955;90.71911486;63.21407427;62.8789132;121.38399799999999;140.5031884
0041palmer_sem1_num21;5.4;47.32327869;54.69495692;31.58728368;26.52200152;77.66390636;54.81034366;54.71558427;122.50628799999998;137.6808284
0043palmer_sem1_num22;3.9;54.38259431;63.01126262;31.88335369;25.2499791;90.9306017;64.2285361;63.54914126;121.25005630000001;140.8441273
0045palmer_sem1_num23;5.0;50.74101412;62.48923826;30.21715825;28.92314815;93.27430004;62.34693352;62.16433726;120.10103899999999;141.0429016
0047palmer_sem1_num24;4.3;46.57757464;54.49252115;30.22782046;27.03010519;83.81412477;55.23798756;54.36420979;122.09254979999999;138.2654407
0049palmer_sem1_num25;4.3;55.46114536;67.53388707;31.60792373;28.16892393;97.27663761;67.83605957;67.68876032;119.77909220000001;142.289954
0051palmer_sem1_num26;4.2;45.64846031;51.58875871;30.74776384;26.15664899;75.62091761;52.23209923;51.46330144;123.2832923;136.88545349999998
0053palmer_sem1_num27;5.0;58.53270081;64.09653875;34.06144698;22.53921044;88.51439798;67.8161368;65.64125996;122.7286311;140.38246740000002
0055palmer_sem1_num28;4.4;59.92236052;67.63452429;33.70032657;24.7890865;92.31312881;69.56737465;68.90718551;121.50130859999999;141.6591321
0057palmer_sem1_num29;5.6;48.86141173;60.94672109;31.10822242;30.16941267;90.17650612;60.78125981;60.45733702;120.13458159999999;140.10318769999998
0059palmer_sem1_num30;4.5;47.779450399999995;53.55146248;31.42102505;25.3076687;78.40380658;54.82032375;53.79750202;123.21408989999999;137.30881599999998
0061palmer_sem1_num31;5.7;45.68001475;57.69989681;31.69371991;30.77679393;82.11045029;57.56205672;56.97755412;120.7011067;138.29317580000003
0063palmer_sem1_num32;4.2;47.45531782;56.79156972;31.04800734;27.81887965;82.0271452;56.90219446;56.43588156;121.5748434;138.5796867
0065palmer_sem1_num33;5.1;54.96417223;61.69083751;31.23306922;25.096137;91.86961803;62.622493000000006;62.32191657;122.1384067;140.6460753
0067palmer_sem1_num34;4.3;51.86211501;62.93061712;31.93885129;28.03800828;88.56723268;63.27872158;62.92959698;120.5876375;140.4013928
0069palmer_sem1_num35;6.0;48.17319452;57.96583097;31.36672621;28.81796338;82.73131257;57.82837818;57.62134922;121.26495600000001;138.9188134
0071palmer_sem1_num36;4.3;49.25159009;64.41940275;30.47673732;30.64563275;93.81073577;64.25369097;63.58350264;118.8949429;141.1529051
0073palmer_sem1_num37;6.0;50.63089175;57.51685133;30.64929444;24.51897762;87.88907285;59.59742571;57.89905169;122.3587054;139.2604364
0075palmer_sem1_num38;4.5;52.05534675;64.20352468;30.639932799999997;27.97806217;92.05545257;64.14911388;63.94180872;120.0056061;141.1552551
0077palmer_sem1_num39;4.4;53.38605856;58.47282779;31.92225998;23.84999729;85.09565821;60.31294389;59.43891715;123.16445870000001;138.964749
0079palmer_sem1_num40;3.8;49.12028461;59.03486898;31.29724992;27.78012781;83.23479203;58.84949888;58.82034491;121.2770037;139.157768
0081palmer_sem1_num41;5.9;48.85037646;57.65409129;32.71108038;28.97168358;84.78361359;57.71330448;57.7062407;121.5642807;138.69913540000002
0083palmer_sem1_num42;4.0;55.05259474;65.29066704;31.84595836;26.72178087;94.92806356;65.86603286;65.66578714;120.5115236;141.6397549
0085palmer_sem1_num43;5.7;48.340669;60.17262957;30.78901184;30.23716057;88.28482655;60.01874561;59.64222273;120.36940609999999;139.8371192
0087palmer_sem1_num44;4.2;49.30256943;60.47127382;29.88429848;27.60315383;91.95217098;60.92931576;60.30017276;120.52001100000001;140.2772962
0089palmer_sem1_num45;4.4;58.44043292;71.34867243;31.57460169;27.81590569;102.2988363;71.42374716;71.65173144;119.06632420000001;143.7725715
0091palmer_sem1_num46;4.1;49.93754639;59.66141764;31.32569654;27.26892492;86.52021611;60.1778302;59.59966364;121.23329009999999;139.49953969999999
0093palmer_sem1_num47;5.0;42.91405563;53.94147253;29.80143286;30.92315226;81.62624934;53.79429735;52.99449621;121.03273999999999;137.90172880000003
0095palmer_sem1_num48;4.5;54.06237868;64.20887722;31.95746019;26.80594734;88.86173598;64.41775939;64.37834847;120.7761014;140.89684640000002
0097palmer_sem1_num49;4.3;49.19479768;53.69250505;30.09111076;24.94486982;86.86779796;55.29465793;54.148128500000006;123.3327848;138.4078491
0099palmer_sem1_num50;5.6;53.97457676;62.73350728;31.73512956;27.59746415;92.83085681;62.81734453;63.12296069;121.0608451;141.07426940000002
0101palmer_sem1_num51;4.2;48.143395500000004;57.212142500000006;31.36666279;27.49268443;77.45776939;57.008238500000004;56.91397746;121.9894355;138.0284264
0103palmer_sem1_num52;4.2;50.98937992;59.69655125;31.27454254;26.25716003;88.37384809999999;60.45337126;59.85674984;121.6757338;139.6178415
0105palmer_sem1_num53;5.2;46.13694028;53.89028470000001;32.36750217;29.13051716;77.90754349;53.80186922;53.85327944;122.26905149999999;137.2862712
0107palmer_sem1_num54;4.4;49.34297822;63.04922226;32.43655776;30.81873668;88.41932617;62.88605362;62.62373534;119.5434189;140.22044119999998
0109palmer_sem1_num55;5.3;51.06258473;56.83833255;30.85928952;27.397287100000003;85.13348244;56.7705926;57.25031956;122.55764199999999;139.420551
0111palmer_sem1_num56;4.5;57.8502825;70.28680639;33.39730655;28.9121093;98.30399174;70.15027959;70.58540083;119.1921688;143.0819628
0113palmer_sem1_num57;4.4;48.95750587;58.9001;30.95863633;28.77466372;87.61353229;58.91453597;58.56890055;120.90071940000001;139.79539519999997
